time,acc
32.610,1.313
68.734,1.871
105.511,3.462
143.822,6.069
182.599,9.773
222.107,15.676
259.817,21.552
296.312,27.786
333.430,32.944
370.373,37.861
408.549,41.358
444.305,45.034
480.622,48.183
517.413,51.297
555.461,53.927
593.525,56.893
630.737,58.529
669.402,61.331
706.633,63.950
743.665,65.771
781.921,67.815
818.653,69.569
855.270,71.061
891.249,73.257
927.520,74.737
964.164,76.554
1000.711,77.895
1038.447,79.344
1076.578,80.905
1114.299,81.622
1151.766,93.453
1190.556,97.482
1226.924,98.615
1264.248,99.151
1301.201,99.371
1337.558,99.600
1373.855,99.730
1410.159,99.783
1447.380,99.846
1484.649,99.882
1521.929,99.909
1558.126,99.928
1595.223,99.934
1631.423,99.938
1667.251,99.946
1704.216,99.942
1740.487,99.952
1777.580,99.966
1815.292,99.964
1854.160,99.954
1890.971,99.961
1927.021,99.972
1963.588,99.970
2000.606,99.962
2037.399,99.965
2073.910,99.970
2111.630,99.970
2147.924,99.971
2183.836,99.972
2221.999,99.972
2258.576,99.970
2294.994,99.976
2331.324,99.976
2367.785,99.980
2404.164,99.986
2442.254,99.978
2480.092,99.975
2520.679,99.976
2559.817,99.980
2597.332,99.974
2634.496,99.976
2671.258,99.986
2707.628,99.976
2744.224,99.986
2781.697,99.976
2819.517,99.988
2858.718,99.984
2901.055,99.981
2938.989,99.980
2977.965,99.974
3015.035,99.982
3054.230,99.976
3091.335,99.972
3127.969,99.974
3164.808,99.974
3202.303,99.976
3240.469,99.990
3276.384,99.977
3313.114,99.980
3351.913,99.980
