,timestamp,step,loss,dt
0,1631597128.3759,1,11.546,2021-09-14 05:25:00
1,1631597154.6777,2,11.5437,2021-09-14 05:26:00
2,1631597172.6435,3,11.5401,2021-09-14 05:26:00
3,1631597191.1783,4,11.5384,2021-09-14 05:27:00
4,1631597209.1473,5,11.5386,2021-09-14 05:27:00
5,1631597227.2305,6,11.5443,2021-09-14 05:27:00
6,1631597253.7078,7,11.5403,2021-09-14 05:28:00
7,1631597271.6899,8,11.5412,2021-09-14 05:28:00
8,1631597289.675,9,11.5409,2021-09-14 05:28:00
9,1631597307.6331,10,11.5356,2021-09-14 05:28:00
10,1631597325.5286,11,11.5445,2021-09-14 05:29:00
11,1631597352.1176,12,11.5437,2021-09-14 05:29:00
12,1631597370.1263,13,11.5423,2021-09-14 05:30:00
13,1631597388.1097,14,11.5448,2021-09-14 05:30:00
14,1631597406.143,15,11.5409,2021-09-14 05:30:00
15,1631597424.0498,16,11.5435,2021-09-14 05:30:00
16,1631597450.5573,17,11.3914,2021-09-14 05:31:00
17,1631597468.4959,18,10.3026,2021-09-14 05:31:00
18,1631597486.3943,19,10.3283,2021-09-14 05:31:00
19,1631597504.3776,20,10.3614,2021-09-14 05:32:00
20,1631597522.2205,21,10.3723,2021-09-14 05:32:00
21,1631597548.7299,22,10.8799,2021-09-14 05:32:00
22,1631597566.6512,23,10.8884,2021-09-14 05:33:00
23,1631597584.5782,24,10.7046,2021-09-14 05:33:00
24,1631597602.7038,25,10.0359,2021-09-14 05:33:00
25,1631597620.5362,26,9.8484,2021-09-14 05:34:00
26,1631597647.0762,27,9.638,2021-09-14 05:34:00
27,1631597665.009,28,9.6131,2021-09-14 05:34:00
28,1631597682.9134,29,9.5512,2021-09-14 05:35:00
29,1631597700.8396,30,9.3675,2021-09-14 05:35:00
30,1631597718.6481,31,9.3165,2021-09-14 05:35:00
31,1631597745.1869,32,9.0602,2021-09-14 05:36:00
32,1631597763.1087,33,8.9834,2021-09-14 05:36:00
33,1631597781.0575,34,9.0951,2021-09-14 05:36:00
34,1631597798.9812,35,8.9433,2021-09-14 05:37:00
35,1631597816.7422,36,8.7812,2021-09-14 05:37:00
36,1631597843.2652,37,8.8251,2021-09-14 05:37:00
37,1631597861.1873,38,8.754,2021-09-14 05:38:00
38,1631597879.1037,39,8.7668,2021-09-14 05:38:00
39,1631597897.7287,40,8.6498,2021-09-14 05:38:00
40,1631597915.5558,41,8.6062,2021-09-14 05:39:00
41,1631597994.2652,37,8.8334,2021-09-14 05:40:00
42,1631598014.2132,38,8.9683,2021-09-14 05:40:00
43,1631598025.3814,39,8.8271,2021-09-14 05:40:00
44,1631598036.5725,40,8.8297,2021-09-14 05:41:00
45,1631598047.7823,41,8.6955,2021-09-14 05:41:00
46,1631598059.0149,42,8.671,2021-09-14 05:41:00
47,1631598070.1812,43,8.9682,2021-09-14 05:41:00
48,1631598081.4399,44,8.9828,2021-09-14 05:41:00
49,1631598092.6979,45,8.6763,2021-09-14 05:42:00
50,1631598112.5853,46,8.6566,2021-09-14 05:42:00
51,1631598123.8052,47,8.6262,2021-09-14 05:42:00
52,1631598135.0857,48,8.4837,2021-09-14 05:42:00
53,1631598146.325,49,8.5135,2021-09-14 05:42:00
54,1631598157.5948,50,8.4384,2021-09-14 05:43:00
55,1631598168.8559,51,8.4389,2021-09-14 05:43:00
56,1631598180.1193,52,8.3556,2021-09-14 05:43:00
57,1631598191.3466,53,8.2861,2021-09-14 05:43:00
58,1631598211.2453,54,8.2577,2021-09-14 05:44:00
59,1631598222.4834,55,8.2311,2021-09-14 05:44:00
60,1631598233.746,56,8.2173,2021-09-14 05:44:00
61,1631598245.3433,57,8.1594,2021-09-14 05:44:00
62,1631598256.6026,58,8.0749,2021-09-14 05:44:00
63,1631598267.8788,59,8.0819,2021-09-14 05:44:00
64,1631598279.5729,60,8.0765,2021-09-14 05:45:00
65,1631598290.8411,61,8.016,2021-09-14 05:45:00
66,1631598302.0386,62,7.9432,2021-09-14 05:45:00
67,1631598321.9718,63,7.988,2021-09-14 05:45:00
68,1631598333.2153,64,7.9661,2021-09-14 05:46:00
69,1631598344.4872,65,7.8992,2021-09-14 05:46:00
70,1631598355.842,66,7.8516,2021-09-14 05:46:00
71,1631598367.0988,67,7.8426,2021-09-14 05:46:00
72,1631598378.3279,68,7.8108,2021-09-14 05:46:00
73,1631598389.5058,69,7.727,2021-09-14 05:46:00
74,1631598401.2052,70,7.7266,2021-09-14 05:47:00
75,1631598421.0105,71,7.6991,2021-09-14 05:47:00
