,dt,count
0,2021-07-26 19:06:00,1
1,2021-07-26 19:08:00,3
2,2021-07-26 19:16:00,1
3,2021-07-26 19:21:00,10
4,2021-07-26 19:36:00,3
5,2021-07-26 19:40:00,5
6,2021-07-26 19:54:00,4
7,2021-07-26 20:00:00,2
8,2021-07-26 20:05:00,2
9,2021-07-26 20:09:00,6
10,2021-07-26 20:18:00,1
11,2021-07-26 20:20:00,4
12,2021-07-26 20:27:00,4
13,2021-07-26 20:33:00,3
14,2021-07-26 20:37:00,1
15,2021-07-26 20:48:00,1
16,2021-07-26 20:50:00,1
17,2021-07-26 20:58:00,4
18,2021-07-26 21:09:00,1
19,2021-07-26 21:14:00,10
20,2021-07-26 21:21:00,1
21,2021-07-26 21:27:00,5
22,2021-07-26 21:35:00,1
23,2021-07-26 21:42:00,1
24,2021-07-26 21:44:00,1
25,2021-07-26 21:45:00,3
26,2021-07-26 22:08:00,4
27,2021-07-26 22:19:00,1
28,2021-07-26 22:24:00,2
29,2021-07-26 22:25:00,2
30,2021-07-26 22:28:00,1
31,2021-07-26 22:30:00,4
32,2021-07-26 22:42:00,2
33,2021-07-26 22:47:00,2
34,2021-07-26 22:48:00,5
35,2021-07-26 22:59:00,7
36,2021-07-26 23:06:00,11
37,2021-07-26 23:13:00,1
38,2021-07-26 23:34:00,4
39,2021-07-26 23:38:00,1
40,2021-07-26 23:45:00,2
41,2021-07-27 00:13:00,2
42,2021-07-27 00:23:00,2
43,2021-07-27 00:25:00,1
44,2021-07-27 00:32:00,63
